"gamedate","gametype","team1","score1","score2","team2"
"2002-10-16","東都3部","順天堂大学",1,2,"学習院大学"
"2002-10-17","東都1部","中央大学",3,6,"日本大学"
"2002-10-17","東都1部","東洋大学",0,2,"亜細亜大学"
"2002-10-19","東都3部","上智大学",4,0,"成蹊大学"
"2002-10-19","東都3部","芝浦工業大学",8,0,"学習院大学"
"2002-10-19","東都4部","東京都市大学",7,4,"一橋大学"
"2002-10-20","東都3部","学習院大学",9,7,"芝浦工業大学"
"2002-10-22","東都1部","日本大学",1,2,"専修大学"
"2002-10-22","東都1部","青山学院大学",3,0,"中央大学"
"2002-10-22","東都2部","國學院大學",6,7,"東京農業大学"
"2002-10-22","東都2部","拓殖大学",2,3,"立正大学"
"2002-10-22","東都3部","成蹊大学",5,6,"上智大学"
"2002-10-23","東都1部","中央大学",2,3,"青山学院大学"
"2002-10-23","東都2部","東京農業大学",0,5,"國學院大學"
"2002-10-23","東都2部","立正大学",17,4,"拓殖大学"
"2002-10-23","東都4部","一橋大学",17,3,"東京都市大学"
"2002-10-25","東都2部","國學院大學",2,0,"東京農業大学"
"2002-10-26","東都3部","上智大学",0,5,"芝浦工業大学"
"2002-10-27","東都3部","大正大学",0,3,"順天堂大学"
"2002-10-27","東都3部","芝浦工業大学",5,2,"学習院大学"
"2002-10-27","東都4部","東京都市大学",9,5,"一橋大学"
"2002-10-28","東都2部","駒澤大学",2,3,"国士舘大学"
"2002-10-28","東都3部","順天堂大学",1,0,"大正大学"
"2002-10-29","東都1部","亜細亜大学",1,5,"中央大学"
"2002-10-29","東都1部","東洋大学",0,4,"日本大学"
"2002-10-29","東都1部","青山学院大学",11,2,"専修大学"
"2002-10-29","東都2部","国士舘大学",1,6,"駒澤大学"
"2002-10-30","東都1部","中央大学",3,5,"亜細亜大学"
"2002-10-30","東都1部","専修大学",3,10,"青山学院大学"
"2002-10-30","東都1部","日本大学",2,5,"東洋大学"
"2002-10-30","東都2部","駒澤大学",2,1,"国士舘大学"
"2002-10-30","東都4部","東京科学大学",2,5,"一橋大学"
"2002-10-31","東都1部","亜細亜大学",1,0,"中央大学"
"2002-10-31","東都1部","東洋大学",3,8,"日本大学"
"2002-11-09","東都入替戦","専修大学",2,5,"駒澤大学"
"2002-11-10","東都入替戦","駒澤大学",2,1,"専修大学"
"2002-11-11","東都入替戦","学習院大学",13,2,"一橋大学"
"2002-11-11","東都入替戦","東京農業大学",3,4,"順天堂大学"
"2002-11-12","東都入替戦","一橋大学",7,8,"学習院大学"
"2002-11-12","東都入替戦","順天堂大学",6,7,"東京農業大学"
"2002-11-13","東都入替戦","東京農業大学",2,4,"順天堂大学"
"2003-04-04","東都3部","東京農業大学",4,0,"上智大学"
"2003-04-06","東都3部","芝浦工業大学",12,13,"学習院大学"
"2003-04-06","東都4部","東京科学大学",10,2,"東京都市大学"
"2003-04-07","東都3部","上智大学",1,6,"東京農業大学"
"2003-04-08","東都1部","亜細亜大学",9,1,"中央大学"
"2003-04-09","東都1部","中央大学",0,7,"亜細亜大学"
"2003-04-09","東都1部","日本大学",3,7,"駒澤大学"
"2003-04-09","東都2部","専修大学",7,1,"国士舘大学"
"2003-04-09","東都2部","立正大学",3,4,"順天堂大学"
"2003-04-09","東都3部","学習院大学",8,9,"芝浦工業大学"
"2003-04-10","東都1部","駒澤大学",9,6,"日本大学"
"2003-04-10","東都2部","国士舘大学",5,2,"専修大学"
"2003-04-10","東都2部","順天堂大学",1,2,"立正大学"
"2003-04-11","東都2部","専修大学",7,4,"国士舘大学"
"2003-04-11","東都2部","立正大学",3,0,"順天堂大学"
"2003-04-12","東都3部","大正大学",3,3,"上智大学"
"2003-04-12","東都3部","成蹊大学",4,3,"学習院大学"
"2003-04-12","東都4部","一橋大学",1,3,"東京科学大学"
"2003-04-13","東都3部","上智大学",0,4,"大正大学"
"2003-04-13","東都3部","学習院大学",3,4,"成蹊大学"
"2003-04-13","東都4部","東京科学大学",5,4,"一橋大学"
"2003-04-14","東都2部","國學院大學",2,3,"国士舘大学"
"2003-04-14","東都2部","拓殖大学",4,7,"順天堂大学"
"2003-04-14","東都3部","大正大学",2,4,"上智大学"
