"gamedate","gametype","team1","score1","score2","team2"
"2000-10-31","東京六大学","慶應",3,4,"立教"
"2000-10-31","東京六大学","慶應",3,8,"明治"
"2000-10-31","東京六大学","慶應",2,1,"明治"
"2000-10-31","東京六大学","慶應",3,1,"早稲田"
"2000-10-31","東京六大学","慶應",2,1,"早稲田"
"2000-10-31","東京六大学","早稲田",0,6,"立教"
"2000-10-31","東京六大学","早稲田",9,4,"明治"
"2000-10-31","東京六大学","早稲田",6,2,"明治"
"2000-10-31","東京六大学","早稲田",17,1,"東大"
"2000-10-31","東京六大学","早稲田",0,2,"法政"
"2000-10-31","東京六大学","早稲田",2,1,"法政"
"2000-10-31","東京六大学","早稲田",1,0,"慶應"
"2000-10-31","東京六大学","明治",3,1,"立教"
"2000-10-31","東京六大学","明治",7,0,"立教"
"2000-10-31","東京六大学","明治",8,5,"早稲田"
"2000-10-31","東京六大学","明治",6,3,"東大"
"2000-10-31","東京六大学","明治",2,2,"慶應"
"2000-10-31","東京六大学","明治",2,3,"慶應"
"2000-10-31","東京六大学","明治",3,4,"法政"
"2000-10-31","東京六大学","東大",0,3,"法政"
"2000-10-31","東京六大学","東大",3,5,"慶應"
"2000-10-31","東京六大学","東大",1,2,"早稲田"
"2000-10-31","東京六大学","東大",0,5,"明治"
"2000-10-31","東京六大学","東大",0,7,"立教"
"2000-10-31","東京六大学","法政",15,0,"東大"
"2000-10-31","東京六大学","法政",2,6,"慶應"
"2000-10-31","東京六大学","法政",0,2,"立教"
"2000-10-31","東京六大学","法政",2,4,"早稲田"
"2000-10-31","東京六大学","法政",5,0,"明治"
"2000-10-31","東京六大学","立教",3,1,"早稲田"
"2000-10-31","東京六大学","立教",8,3,"明治"
"2000-10-31","東京六大学","立教",0,1,"法政"
"2000-10-31","東京六大学","立教",2,6,"法政"
"2000-10-31","東京六大学","立教",4,2,"慶應"
"2000-10-31","東京六大学","立教",6,3,"東大"
"2001-04-14","東京六大学","明治",2,3,"早稲田"
"2001-04-14","東京六大学","東大",0,11,"慶應"
"2001-04-15","東京六大学","慶應",3,0,"東大"
"2001-04-15","東京六大学","早稲田",2,7,"明治"
"2001-04-16","東京六大学","明治",5,6,"早稲田"
"2001-04-21","東京六大学","明治",2,0,"立教"
"2001-04-21","東京六大学","東大",2,11,"法政"
"2001-04-22","東京六大学","法政",9,2,"東大"
"2001-04-22","東京六大学","立教",2,1,"明治"
"2001-04-23","東京六大学","明治",5,1,"立教"
"2001-04-28","東京六大学","法政",2,1,"早稲田"
"2001-04-28","東京六大学","立教",4,0,"慶應"
"2001-04-29","東京六大学","慶應",0,1,"立教"
"2001-04-29","東京六大学","早稲田",4,2,"法政"
"2001-05-01","東京六大学","法政",1,2,"早稲田"
"2001-05-05","東京六大学","慶應",1,7,"明治"
"2001-05-05","東京六大学","早稲田",10,2,"東大"
"2001-05-06","東京六大学","明治",4,0,"慶應"
"2001-05-06","東京六大学","東大",4,6,"早稲田"
"2001-05-12","東京六大学","明治",4,5,"法政"
"2001-05-12","東京六大学","立教",6,1,"東大"
"2001-05-13","東京六大学","東大",2,14,"立教"
"2001-05-13","東京六大学","法政",5,1,"明治"
"2001-05-19","東京六大学","慶應",4,2,"法政"
